slug;name;developer;class;district;address;has_img
republic;Republic (Репаблик);FORMA;премиум;Пресненский;Пресненский Вал, вл. 21-27;
stoun-rayz;СТОУН Райз (STONE Rise);STONE;бизнес;Таганский;Золоторожский Вал, вл. 11;
paveletskaya-ot-granel;Павелецкая от Гранель (MYPRIORITY Paveletskaya);ГК Гранель;бизнес;Замоскворечье;Дубининская ул., 17;
voxhall;Voxhall (Воксхолл);Группа Эталон;бизнес;Замоскворечье;Летниковская ул., 4;
intelligent;Интеллигент;Мосреалстрой (УЭЗ);бизнес;Басманный;Семёновская наб., 3;
shelepikha;Шелепиха;УЭЗ;бизнес;Пресненский;Шмитовский пр-д, 40;
kostomarovskiy-15;Костомаровский, 15;Центр-Инвест;бизнес;Таганский;Костомаровский пер., вл. 15;
scala;Scala (Скала);STENOY;бизнес;Красносельский;ул. Гаврикова, вл. 11;
red7;RED7;ГК Основа;премиум;Красносельский;просп. Академика Сахарова, вл. 7;
chkalov;Chkalov;Ikon Development;элитный;Басманный;Земляной Вал, 24/32;
rezidentsii-arkhitektorov;Резиденции архитекторов;AFI Development;бизнес;Басманный;Бауманская ул., 47/1;
headliner;HeadLiner;ГК КОРТРОС;бизнес;Пресненский;Шмитовский пр-д, 39;
soul;СОУЛ (SOUL);FORMA;премиум;Аэропорт;Часовая ул., 28;
amber-siti;Амбер Сити (AMBER CITY);ГК ФСК;премиум;Хорошёвский;3-й Хорошёвский пр-д;
indy-towers;INDY Towers;Группа Аквилон;бизнес;Хорошёвский;ул. Куусинена, вл. 21;
sezar-siti;Сезар Сити (SEZAR CITY);Sezar Group;бизнес;Хорошёвский;2-й Хорошёвский пр-д, 7;
seliger-siti;Селигер Сити;MR Group;бизнес;Западное Дегунино;Ильменский пр-д, вл. 14;
mangazeya-na-rechnom;Мангазея на Речном;ГК Мангазея;бизнес;Левобережный;Ленинградское ш., 57;
severnyy-port-beregovye-kvartaly;Северный порт. Береговые кварталы;LEGENDA Intelligent Development;бизнес;Левобережный;Ленинградское ш., 57-63;
indzhoy;Инджой (INJOY);Талан;бизнес;Войковский;ул. Адмирала Макарова;
level-voykovskaya;Level Войковская;Level Group;бизнес;Войковский;Старопетровский пр-д, 11;
