slug;name;name_short;dev_id;developer;class;class_zayavlen;class_why;class_declared;class_disputed;okrug;district;address;lat;lon;geo_precision;type;units_total;units_per_floor;floors;ceilings_m;parking;stage;deadline_initial;deadline;price_from_m2;price_median_m2;price_check;penthouses;penthouse_flag;architect;facade;energy_class;escrow;maintenance_rub_m2;website;sources;updated;p01;p02;p03;p04;p05;p06;p07;p08;p09;pasport;pasport_why;school_min;school_name;nota_school_min;nota_school_name;nota_15;marked_min;marked_name;marked_20;lots;lot_min_m2;lot_min_price;lots_median_m2;lots_date;has_foto;rynok
republic;Republic (Репаблик);Republic;forma;FORMA;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — плотность, паркинг, потолки;бизнес / премиум;да;ЦАО;Пресненский;Пресненский Вал, вл. 21-27;55.77157;37.56888;адрес;квартиры;2651;;36;2.92;1687;строится;;IV кв. 2027;593039;;;да;да;;;;;;https://republic.forma.ru/;"https://novostroev.ru/novostroyki/moskva/cao/presnenskiy/republic/ https://mskguru.ru/novostroyki/1468-zhk-presnenskij-val-17 approx-coords https://novostroev.ru/novostroyki/moskva/cao/presnenskiy/republic/studii/ https://novostroev.ru/novostroyki/moskva/cao/presnenskiy/republic/4-komnatnye/ https://novostroev.ru/novostroyki/moskva/cao/presnenskiy/republic/1-komnatnye/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (61303 +1) 24.09.2026; машиноместа, потолки — https://novostroev.ru/novostroyki/moskva/cao/presnenskiy/republic/ 24.09.2026";23.09.2026;да;нет;нет;нет;нет;да;да;да;да;Без отметки;минусы: окружение, повседневность, плотность, машина;6;Романовская школа;6;Романовская школа;1;;;0;218;27.4;17900143;;23.09.2026;да;первичка
stoun-rayz;СТОУН Райз (STONE Rise);СТОУН Райз;stone;STONE;бизнес;бизнес;минус к классу: паркинг;бизнес / бизнес;;ЦАО;Таганский;Золоторожский Вал, вл. 11;55.75166;37.68688;адрес;квартиры;545;8;30;2.95;257;строится;;IV кв. 2028;543452;;;;;;;;;;https://stone.ru/;"https://novostroev.ru/novostroyki/moskva/cao/taganskiy/rise/ https://stone.ru/residential/rise добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (66661) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/cao/taganskiy/rise/ 24.09.2026";23.09.2026;да;нет;да;да;нет;нет данных;да;да;да;Отметка;минусы: окружение, машина;7;Лицей №1303;18;Школа «Содружество»;0;;;0;;30.2;21614140;;23.09.2026;да;первичка
paveletskaya-ot-granel;Павелецкая от Гранель (MYPRIORITY Paveletskaya);Павелецкая от Гранель;gk-granel;ГК Гранель;бизнес;бизнес;минус к классу: паркинг;бизнес;;ЦАО;Замоскворечье;Дубининская ул., 17;55.72726;37.63898;адрес;квартиры;377;11;30;3.00;104;строится;;III кв. 2028;547919;;;;;;;;;;https://www.granelle.ru/objects/mypriority-paveletskaya/;"https://mskguru.ru/novostroyki/4746-zhk-mypriority-paveletskaya https://novostroev.ru/novostroyki/moskva/cao/zamoskvoreche/mypriority-paveletskaya/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (66240 +1) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/cao/zamoskvoreche/mypriority-paveletskaya/ 24.09.2026";23.09.2026;да;нет;да;да;нет;да;да;да;да;Отметка;минусы: окружение, машина;7;Школа № 627 им. Д.Д. Лелюшенко;7;Школа № 627 им. Д.Д. Лелюшенко;3;;;0;;30.2;25000000;;23.09.2026;да;первичка
voxhall;Voxhall (Воксхолл);Voxhall;gruppa-etalon;Группа Эталон;бизнес;бизнес;минус к классу: плотность, паркинг;бизнес;;ЦАО;Замоскворечье;Летниковская ул., 4;55.72770;37.64439;адрес;квартиры+апартаменты;3776;;27;3.30;596;сдан, есть остатки;;сдан;525092;;;;;;;;;;https://etalongroup.ru/msk/object/voxhall/;"https://mskguru.ru/novostroyki/4806-zhk-voxhall https://www.cian.ru/novostroyki-biznes-klassa-moskva-cao-044/ https://etalongroup.ru/msk/object/voxhall/ https://etalongroup.ru/msk/choose/flat/?project=voxhall https://novostroev.ru/novostroyki/moskva/cao/zamoskvoreche/voxhall/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (42849 +1) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/cao/zamoskvoreche/voxhall/ 24.09.2026";23.09.2026;да;да;да;нет;нет;да;да;не применяется;да;Отметка;минусы: плотность, машина;14;Школа № 1553 им. В.И. Вернадского;14;Школа № 1553 им. В.И. Вернадского;2;;;0;;22.5;18057458;;23.09.2026;да;первичка и вторичка
intelligent;Интеллигент;Интеллигент;mosrealstroy;Мосреалстрой (УЭЗ);бизнес;бизнес;минус к классу: паркинг;бизнес;;ЦАО;Басманный;Семёновская наб., 3;55.78089;37.70362;адрес;квартиры;813;12;29;2.95;161;сдан, есть остатки;;сдан;487719;;;;;;;;;;;"https://mskguru.ru/novostroyki/4589-zhk-intelligent https://novostroev.ru/novostroyki/moskva/cao/basmannyy/intelligent/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (44125) 24.09.2026; машиноместа, квартир на этаже, потолки — https://novostroev.ru/novostroyki/moskva/cao/basmannyy/intelligent/ 24.09.2026";23.09.2026;да;да;да;да;нет;нет;нет;да;да;Присмотреться;минусы: машина, застройщик, сроки дома;6;Школа на Яузе;6;Школа на Яузе;2;;;0;;27.9;18300000;;23.09.2026;да;первичка и вторичка
shelepikha;Шелепиха;Шелепиха;uez;УЭЗ;бизнес;бизнес;минус к классу: паркинг;бизнес;;ЦАО;Пресненский;Шмитовский пр-д, 40;55.75606;37.52679;адрес;квартиры;653;;37;;234;строится;;II кв. 2026;460385;;;;;;;;;;;https://mskguru.ru/novostroyki/1430-zhk-shelepihinskoe-shosse https://www.cian.ru/novostroyki-biznes-klassa-moskva-cao-044/ https://novostroev.ru/novostroyki/moskva/cao/cosmopolit/ добор 04/05: этажность, квартиры — наш.дом.рф, объекты ЕИСЖС (44596) 24.09.2026;23.09.2026;да;да;да;да;нет;нет;нет;да;да;Присмотреться;минусы: машина, застройщик, сроки дома;10;Романовская школа;10;Романовская школа;2;;;0;;24;19200000;;23.09.2026;да;первичка
kostomarovskiy-15;Костомаровский, 15;Костомаровский, 15;tsentr-invest;Центр-Инвест;бизнес;бизнес;;бизнес;;ЦАО;Таганский;Костомаровский пер., вл. 15;55.75195;37.66462;адрес;апартаменты;143;;13;;164;строится;;I кв. 2027;;;;;;;;;;;;"https://novostroev.ru/novostroyki/moskva/cao/taganskiy/kostomarovskiy-15/ https://www.cian.ru/novostroyki-biznes-klassa-moskva-cao-044/ добор 04/05: этажность — наш.дом.рф, объекты ЕИСЖС (56719) 24.09.2026; квартиры, машиноместа — https://novostroev.ru/novostroyki/moskva/cao/taganskiy/kostomarovskiy-15/ 24.09.2026";23.09.2026;да;да;да;да;да;да;да;нет;нет данных;Отметка;минусы: юридика;2;Инженерная школа № 1581;2;Инженерная школа № 1581;6;13;Школа Центра педагогического мастерства (ЦПМ);1;;;;;;да;первичка
scala;Scala (Скала);Scala;stenoy;STENOY;бизнес;бизнес;;бизнес;;ЦАО;Красносельский;ул. Гаврикова, вл. 11;55.78038;37.67451;адрес;квартиры;160;;;3.10;;анонс;;II кв. 2028;;;;;;;;;;;;"https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/scala-skala/ добор 04/05: квартиры — https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/scala-skala/ 24.09.2026; потолки (3,1–3,5) — https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/scala-skala/ (24.09.2026)";23.09.2026;да;да;да;да;нет данных;нет данных;нет данных;нет данных;нет данных;Отметка;;5;Школа № 315;5;Школа № 315;2;;;0;;;;;;да;анонс
red7;RED7;RED7;gk-osnova;ГК Основа;бизнес;премиум;понижен: не дотягивает до класса «премиум» по двум и более признакам — паркинг, потолки;бизнес-премиум;да;ЦАО;Красносельский;просп. Академика Сахарова, вл. 7;55.77117;37.64369;адрес;апартаменты;289;;23;3.00;284;сдан, есть остатки;;сдан;500000;;;;;;;;;;https://red-seven.ru/;"https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/siluet-na-uglu-sadovogo-koltsa-i-prospekta-akademika-sakharova/ https://ama.ru/msk/moskva/tsao/biznes https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/siluet-na-uglu-sadovogo-koltsa-i-prospekta-akademika-sakharova/studii/ https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/siluet-na-uglu-sadovogo-koltsa-i-prospekta-akademika-sakharova/2-komnatnye/ https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/siluet-na-uglu-sadovogo-koltsa-i-prospekta-akademika-sakharova/3-komnatnye/ добор 04/05: этажность, квартиры, машиноместа — наш.дом.рф, объекты ЕИСЖС (22945) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/siluet-na-uglu-sadovogo-koltsa-i-prospekta-akademika-sakharova/ 24.09.2026";23.09.2026;да;да;да;да;да;да;да;нет;да;Без отметки;красная линия: юридика;5;Пушкинская школа № 1500;5;Пушкинская школа № 1500;4;15;Лицей НИУ ВШЭ;2;37;27.2;23000000;;23.09.2026;да;первичка и вторичка
chkalov;Chkalov;Chkalov;ikon-development;Ikon Development;премиум;элитный;понижен: не дотягивает до класса «элитный» по двум и более признакам — плотность, паркинг, потолки;бизнес / премиум (Метриум), элит (kvadroom);да;ЦАО;Басманный;Земляной Вал, 24/32;55.75783;37.65612;адрес;квартиры+апартаменты;396;;25;3.15;270;сдан, есть остатки;;сдан;669000;;цена не бьётся с классом;;;;;;;;;"https://mskguru.ru/novostroyki/1301-zhk-chkalov https://novostroev.ru/novostroyki/moskva/cao/basmannyy/dom-chkalov/ https://novostroev.ru/novostroyki/moskva/cao/basmannyy/dom-chkalov/studii/ https://novostroev.ru/novostroyki/moskva/cao/basmannyy/dom-chkalov/1-komnatnye/ https://novostroev.ru/novostroyki/moskva/cao/basmannyy/dom-chkalov/2-komnatnye/ https://novostroev.ru/novostroyki/moskva/cao/basmannyy/dom-chkalov/3-komnatnye/ добор 04/05: этажность, машиноместа — наш.дом.рф, объекты ЕИСЖС (7910) 24.09.2026; потолки — https://novostroev.ru/novostroyki/moskva/cao/basmannyy/dom-chkalov/ 24.09.2026";23.09.2026;да;да;да;да;нет;да;да;нет;нет;Без отметки;красная линия: юридика;6;Школа «Покровский квартал»;6;Школа «Покровский квартал»;5;8;Школа Центра педагогического мастерства (ЦПМ);2;23;31.2;31200000;;23.09.2026;да;первичка и вторичка
