rank;name;official_name;category;kind;index;marked;grant;okrug;district;address;donm_group;raex_msk_compete;raex_msk_scale;raex_rf;raex_private;forbes;price;boarding;preschool;gen_edu;sport_type;features;buildings;site;note;lat;lon;geo_precision;geo_source
1;Лицей «Вторая школа» им. В.Ф. Овчинникова;ГБОУ города Москвы «Лицей «Вторая школа» имени В.Ф. Овчинникова»;Городская;лицей;96;True;I степени;ЮЗАО;Гагаринский;ул. Фотиевой, д. 18;1;2;14;5;;;;;;;;;1;https://lycuz2.mskobr.ru/;;55.69781;37.55636;дом;OpenStreetMap / Nominatim, 21.09.2026
2;Бауманская инженерная школа № 1580;ГБОУ города Москвы «Бауманская инженерная школа № 1580»;Городская;школа;93;True;I степени;ЮЗАО;Зюзино;Балаклавский пр-т, д. 6А;1;10;3;20;;;;;;;;;;https://lycu1580.mskobr.ru/;;55.64161;37.61263;дом;OpenStreetMap / Nominatim, 21.09.2026
3;Пятьдесят седьмая школа;ГБОУ города Москвы «Пятьдесят седьмая школа»;Городская;школа;92;True;I степени;ЦАО;Хамовники;Малый Знаменский пер., д. 7/10, стр. 5;1;9;10;17;;;;;;;;;3;https://57.mskobr.ru/;;55.74856;37.60514;дом;OpenStreetMap / Nominatim, 21.09.2026
4;Школа № 179;ГБОУ города Москвы «Школа № 179»;Городская;школа;92;True;I степени;ЦАО;Тверской;ул. Большая Дмитровка, д. 5/6, стр. 7;1;4;23;7;;;;;;;;;;https://schc179.mskobr.ru/;;55.76033;37.61491;дом;OpenStreetMap / Nominatim, 21.09.2026
5;Школа № 1535;ГБОУ города Москвы «Школа № 1535»;Городская;школа;91;True;I степени;ЦАО;Хамовники;ул. Усачёва, д. 50;1;12;5;30;;;;;;;;;1;https://lyc1535.mskobr.ru/;;55.72605;37.56527;дом;OpenStreetMap / Nominatim, 21.09.2026
6;Лицей НИУ ВШЭ;Лицей НИУ «Высшая школа экономики»;Вузовская;лицей;90;True;I степени;ЦАО;Красносельский;Большой Харитоньевский пер., д. 4;1;14;2;32;;;;;;;;;4;https://school.hse.ru/;"4 равнозначных здания; матем./ИТ/инженерное направление — Солянка, 14А.";55.76364;37.64392;дом;OpenStreetMap / Nominatim, 21.09.2026
7;Школа Центра педагогического мастерства (ЦПМ);АНО «Общеобразовательная школа Центра педагогического мастерства»;Частная;школа;90;True;II степени;ЦАО;Мещанский;Олимпийский пр-т, д. 11, корп. 1 + площадки Марьина Роща, Курская;2;6;1;12;;да;640000-730000;нет;нет;;;олимпиадная подготовка, 5–11 кл., профили, онлайн-формат;3;https://школа-цпм.рф/;;55.79054;37.62240;улица;OpenStreetMap / Nominatim, 21.09.2026
8;Школа № 2007 ФМШ;ГБОУ города Москвы «Школа № 2007 ФМШ»;Городская;школа;89;True;I степени;ЮЗАО;Южное Бутово;ул. Горчакова, д. 9, корп. 1;1;5;34;11;;;;;;;;;;https://schuuz2007.mskobr.ru/;;55.54475;37.53277;дом;OpenStreetMap / Nominatim, 21.09.2026
9;Школа «Летово»;ОАНО «Школа «ЛЕТОВО»;Частная;школа;88;True;I степени;НАО;поселение Сосенское;пос. Сосенское, Зимёнковская ул., д. 3;1;16;36;42;;высокая;3500000-4000000;да;нет;;;IB DP, 7–11 кл., кампус 60 га, need-blind приём, 80% стипендиатов;;https://letovo.ru/;;55.55741;37.42228;дом;OpenStreetMap / Nominatim, 21.09.2026
10;Предуниверситарий МИФИ;Предуниверситарий НИЯУ МИФИ;Вузовская;школа;81;True;II степени;ЮАО;Москворечье-Сабурово;Каширское ш., д. 31;2;11;4;26;;;;;;;;;2;https://mephi.ru/;;55.65045;37.66580;дом;OpenStreetMap / Nominatim, 21.09.2026
11;Школа № 1568 им. Пабло Неруды;ГБОУ города Москвы «Школа № 1568 имени Пабло Неруды»;Городская;школа;81;True;I степени;СВАО;Южное Медведково;пр-д Шокальского, д. 7, корп. 2;1;17;31;44;;;;;;;;;;https://lyc1568.mskobr.ru/;;55.87454;37.64288;дом;OpenStreetMap / Nominatim, 21.09.2026
12;Школа № 1514;ГБОУ города Москвы «Школа № 1514»;Городская;школа;80;True;I степени;ЗАО;Раменки;ул. Крупской, д. 12;1;26;9;65;;;;;;;;;;https://gym1514uz.mskobr.ru/;;55.68511;37.52700;дом;OpenStreetMap / Nominatim, 21.09.2026
13;Ломоносовская школа;;Частная;школа;77;True;;ЗАО;Очаково-Матвеевское;Аминьевское ш., д. 18, корп. 4;;24;;62;2;да;1935000;нет;да;;;технология «ИнтеллекТ», углублённые языки, сад с 3 лет;;https://lomon.ru/;;55.71443;37.45594;дом;OpenStreetMap / Nominatim, 21.09.2026
14;Школа № 1502 «Энергия»;ГБОУ города Москвы «Школа № 1502 «Энергия»;Городская;школа;77;True;I степени;ВАО;Новогиреево;ул. Молостовых, д. 10А;1;29;8;76;;;;;;;;;9;https://1502.mskobr.ru/;;55.76070;37.83049;дом;OpenStreetMap / Nominatim, 21.09.2026
