rank;name;official_name;category;kind;index;marked;grant;okrug;district;address;donm_group;raex_msk_compete;raex_msk_scale;raex_rf;raex_private;forbes;price;boarding;preschool;gen_edu;sport_type;features;buildings;site;note
1;Лицей «Вторая школа» им. В.Ф. Овчинникова;ГБОУ города Москвы «Лицей «Вторая школа» имени В.Ф. Овчинникова»;Городская;лицей;96;True;I степени;ЮЗАО;Гагаринский;ул. Фотиевой, д. 18;1;2;14;5;;;;;;;;;1;https://lycuz2.mskobr.ru/;
2;Бауманская инженерная школа № 1580;ГБОУ города Москвы «Бауманская инженерная школа № 1580»;Городская;школа;93;True;I степени;ЮЗАО;Зюзино;Балаклавский пр-т, д. 6А;1;10;3;20;;;;;;;;;;https://lycu1580.mskobr.ru/;
3;Пятьдесят седьмая школа;ГБОУ города Москвы «Пятьдесят седьмая школа»;Городская;школа;92;True;I степени;ЦАО;Хамовники;Малый Знаменский пер., д. 7/10, стр. 5;1;9;10;17;;;;;;;;;3;https://57.mskobr.ru/;
4;Школа № 179;ГБОУ города Москвы «Школа № 179»;Городская;школа;92;True;I степени;ЦАО;Тверской;ул. Большая Дмитровка, д. 5/6, стр. 7;1;4;23;7;;;;;;;;;;https://schc179.mskobr.ru/;
5;Школа № 1535;ГБОУ города Москвы «Школа № 1535»;Городская;школа;91;True;I степени;ЦАО;Хамовники;ул. Усачёва, д. 50;1;12;5;30;;;;;;;;;1;https://lyc1535.mskobr.ru/;
6;Лицей НИУ ВШЭ;Лицей НИУ «Высшая школа экономики»;Вузовская;лицей;90;True;I степени;ЦАО;Красносельский;Большой Харитоньевский пер., д. 4;1;14;2;32;;;;;;;;;4;https://school.hse.ru/;"4 равнозначных здания; матем./ИТ/инженерное направление — Солянка, 14А."
7;Школа Центра педагогического мастерства (ЦПМ);АНО «Общеобразовательная школа Центра педагогического мастерства»;Частная;школа;90;True;II степени;ЦАО;Мещанский;Олимпийский пр-т, д. 11, корп. 1 + площадки Марьина Роща, Курская;2;6;1;12;;да;640000-730000;нет;нет;;;олимпиадная подготовка, 5–11 кл., профили, онлайн-формат;3;https://школа-цпм.рф/;
8;Школа № 2007 ФМШ;ГБОУ города Москвы «Школа № 2007 ФМШ»;Городская;школа;89;True;I степени;ЮЗАО;Южное Бутово;ул. Горчакова, д. 9, корп. 1;1;5;34;11;;;;;;;;;;https://schuuz2007.mskobr.ru/;
9;Школа «Летово»;ОАНО «Школа «ЛЕТОВО»;Частная;школа;88;True;I степени;НАО;поселение Сосенское;пос. Сосенское, Зимёнковская ул., д. 3;1;16;36;42;;высокая;3500000-4000000;да;нет;;;IB DP, 7–11 кл., кампус 60 га, need-blind приём, 80% стипендиатов;;https://letovo.ru/;
10;Предуниверситарий МИФИ;Предуниверситарий НИЯУ МИФИ;Вузовская;школа;81;True;II степени;ЮАО;Москворечье-Сабурово;Каширское ш., д. 31;2;11;4;26;;;;;;;;;2;https://mephi.ru/;
11;Школа № 1568 им. Пабло Неруды;ГБОУ города Москвы «Школа № 1568 имени Пабло Неруды»;Городская;школа;81;True;I степени;СВАО;Южное Медведково;пр-д Шокальского, д. 7, корп. 2;1;17;31;44;;;;;;;;;;https://lyc1568.mskobr.ru/;
12;Школа № 1514;ГБОУ города Москвы «Школа № 1514»;Городская;школа;80;True;I степени;ЗАО;Раменки;ул. Крупской, д. 12;1;26;9;65;;;;;;;;;;https://gym1514uz.mskobr.ru/;
13;Ломоносовская школа;;Частная;школа;77;True;;ЗАО;Очаково-Матвеевское;Аминьевское ш., д. 18, корп. 4;;24;;62;2;да;1935000;нет;да;;;технология «ИнтеллекТ», углублённые языки, сад с 3 лет;;https://lomon.ru/;
14;Школа № 1502 «Энергия»;ГБОУ города Москвы «Школа № 1502 «Энергия»;Городская;школа;77;True;I степени;ВАО;Новогиреево;ул. Молостовых, д. 10А;1;29;8;76;;;;;;;;;9;https://1502.mskobr.ru/;
15;СУНЦ МГУ (школа-интернат им. А.Н. Колмогорова);СУНЦ МГУ — школа-интернат имени А.Н. Колмогорова;Вузовская;школа;76;True;III степени;ЗАО;Фили-Давыдково;Кременчугская ул., д. 11;3;1;6;2;;;;;;;;;;https://internat.msu.ru/;"В списке ДОНМ фигурирует дважды под разными названиями (Раменки); официальный адрес — Кременчугская, 11 (Фили-Давыдково)."
16;Классический пансион МГУ;Классический пансион МГУ имени М.В. Ломоносова;Частная;школа;74;True;;ЗАО;Очаково-Матвеевское;ул. Лобачевского, д. 118, корп. 3;;18;;47;4;;850000-1950000;да;нет;;;круглосуточный пансион, 1–11 кл., подготовка к МГУ;;https://pansionmsu.ru/;
17;Лицей «Воробьёвы горы»;ГБПОУ «Воробьёвы горы», отделение общего образования;Городская;лицей;69;True;II степени;ЮАО;Донской;Донская ул., д. 37;2;15;41;37;;;;;;;;;;https://vg.mskobr.ru/;"Отделение общего образования — Донская, 37; юрлицо зарегистрировано на ул. Косыгина, 17."
18;Школа № 1543;ГБОУ города Москвы «Гимназия № 1543 имени Ю.В. Завельского»;Городская;школа;69;True;II степени;ЗАО;Тропарёво-Никулино;ул. 26 Бакинских Комиссаров, д. 3, корп. 5;2;8;;16;;;;;;;;;;https://gym1543.mskobr.ru/;
19;Лицей Финансового университета;Лицей Финансового университета при Правительстве РФ;Вузовская;лицей;68;True;III степени;САО;Аэропорт;Ленинградский пр-т, д. 51, корп. 4;3;7;21;15;;;;;;;;;;https://www.fa.ru/;
