slug;tip;gde;detali;source;checked
pushkarev-12;подготовка под дровяной;пентхаус на 8-м этаже, 279,4 м², единственная квартира на этаже, своя эксплуатируемая кровля;;https://pushkarev12.house/;25.09.2026
sadovye-kvartaly;дымоход под дровяной;лоты с дымоходом в корпусах 2.7.1, 2.7.2, 2.8, 2.9, 2.10, 5.2.1 и 5.2.2;;https://sadkvartal.ru/fireplace;25.09.2026
lavrushinskiy;дровяной;пентхаусы;потолки 3,85–8,25 м, террасы, бассейны в лотах;https://kupipenthouse.ru/kupit-penthouse/zhk-lavrushinskiy/;25.09.2026
tishinskiy-bulvar;дровяной;пентхаусы;эксплуатируемая крыша под бассейн или джакузи, потолки до 7,65 м;https://kupipenthouse.ru/kupit-penthouse/zhk-tishinskiy-bulvar/;25.09.2026
ilinka-3-8;дымоход под дровяной;пентхаусы;выведенные дымоходы, потолки до 6,2 м;https://kupipenthouse.ru/kupit-penthouse/zhk-ilinka-3-8/;25.09.2026
obydenskiy-1;дровяной;часть лотов;назван Sminex-Интеко среди проектов с каминами;https://www.realty.ru/new/vozmozhnost-ustanovit-drovyanoi-kamin-est-tol-ko-v-pyatoi-chasti-elitnih-kvartir;25.09.2026
luce;камин, тип не уточнён;гранд-пентхаус;персональный лифт, отдельный вход с улицы, террасы;https://kupipenthouse.ru/kupit-penthouse/zhk-lyuche/;25.09.2026
dom-dau;дровяной;двухуровневые пентхаусы;в плите перекрытия каждого пентхауса — проём 500×500 мм под дымоход;https://www.mirkvartir.ru/journal/reviews/2026/08/24/zagorodnyj-uyut-v/;25.09.2026
nikitskiy-6;дровяной;4 пентхауса;;https://www.mirkvartir.ru/journal/reviews/2026/08/24/zagorodnyj-uyut-v/;25.09.2026
pyzhevskiy;дровяной;пентхаусы;потолки до 4,7 м;https://www.mirkvartir.ru/journal/reviews/2026/08/24/zagorodnyj-uyut-v/;25.09.2026
khamovniki-12;дровяной и паровой;дровяные — на террасах двух пентхаусов, паровые — в квартирах всех типов;;https://www.mirkvartir.ru/journal/reviews/2026/08/24/zagorodnyj-uyut-v/;25.09.2026
kollektsiya-luzhniki;дровяной;пентхаусы;;https://www.mirkvartir.ru/journal/reviews/2026/08/24/zagorodnyj-uyut-v/;25.09.2026
quartier-d-or;дровяной;4 лота;топки Brunner, дымоходы из нержавеющей стали;https://www.vedomosti.ru/press_releases/2026/02/27/drovyanoi-kamin-v-delyuks-proekte--simvol-statusa-i-utonchyonnogo-vkusa-erid-2VfnxyCpaPT;25.09.2026
