klaster_id;rayon;nazvanie;gde;harakter;doma_iz_kursa;orientiry;istochnik
luzhniki;Хамовники;Лужники;за ТТК, территория стадиона;скорее часть Лужников, чем классические Хамовники: спорт и концерты;;55.7157,37.5537 стадион «Лужники»|55.7206,37.5610 площадь Лужников;"курс «Элитная Москва», урок 1; названия авторские, границы условные"
novodevichiy;Хамовники;Новодевичий;монастырь, парк и пруды, между Погодинской и Большой Пироговской;исторически значимый, один из лучших «пятачков» Хамовников;;55.7258,37.5563 Новодевичий монастырь|55.7270,37.5543 Новодевичьи пруды;"курс «Элитная Москва», урок 1; названия авторские, границы условные"
savvinskiy;Хамовники;Саввинский;вдоль Саввинской набережной;не самое удачное место, но популярное;;55.7380,37.5705 Саввинская набережная;"курс «Элитная Москва», урок 1; названия авторские, границы условные"
centr-khamovniki;Хамовники;Центральные Хамовники;"«Садовые кварталы», усадьба Трубецких; отдельно Knightsbridge у Спортивной";самая населённая и раскрученная часть;Садовые кварталы, Knightsbridge;55.7290,37.5778 усадьба Трубецких|55.7318,37.5795 Садовые кварталы|55.7218,37.5701 Knightsbridge;"курс «Элитная Москва», урок 1; названия авторские, границы условные"
frunzenskiy;Хамовники;Фрунзенский;Фрунзенская набережная и Комсомольский проспект;"советская застройка, сталинки; исторически незначимый";;55.7220,37.5870 Фрунзенская набережная|55.7280,37.5800 Фрунзенская набережная;"курс «Элитная Москва», урок 1; названия авторские, границы условные"
plyushchikha;Хамовники;Плющиха;между водой и Садовым: Девичье поле, Вражские переулки, улица Плющиха;"исторически значимый; по мнению автора курса — лучшее место в Хамовниках";;55.7358,37.5777 сквер Девичьего поля;"курс «Элитная Москва», урок 1; названия авторские, границы условные"
krasnaya-roza;Хамовники;Красная Роза;офис Яндекса, Парк культуры, Тимура Фрунзе, Льва Толстого;деловая движуха;;55.7342,37.5880 Красная Роза, офис Яндекса;"курс «Элитная Москва», урок 1; названия авторские, границы условные"
ost-chayka;Остоженка;«Чайка»;ближе к Садовому: бассейн «Чайка», Музей Москвы, Парк культуры;тихий край Остоженки у Садового;Хилков 5, Noble Row, Кленовый дом, Кристалл Хаус;55.7383,37.5960 бассейн «Чайка»|55.7360,37.5950 Музей Москвы;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
ost-zachatyevskiy;Остоженка;Зачатьевский;сердцевина вокруг Зачатьевского монастыря, Бутиковский и Курсовой;"самая высокая плотность домов; от особнячков до больших домов";Опера Хаус, Молочный, Copper House, Новая Остоженка, Аннабель, Набоков, Villa Grace, Barkli Virgin House, Остоженка 11, Allegoria Mosca;55.7408,37.6000 Зачатьевский монастырь|55.7428,37.6020 Бутиковский переулок;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
ost-hram;Остоженка;«Храм Христа»;вокруг Храма Христа Спасителя;статусные дома у храма и набережной;Le Dôme, Обыденский, Империум, Carré Blanc;55.7446,37.6055 Храм Христа Спасителя;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
ost-prechistenka;Остоженка;Пречистенка;улица и ближние переулки;сильно отличается от остальной Остоженки;Пречистенка 13, новый проект на Левшинском;55.7430,37.5970 Пречистенка, 13|55.7400,37.5890 Пречистенка у Садового;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
balchug-kreml;Балчуг;У Кремля;Софийская и Берсеневская набережные;"виды на Кремль; красиво, но тяжело выехать";Золотой, Дуо, Софийский, Резиденция 1864, Дом на набережной, Красный Октябрь;55.7442,37.6127 Дом на набережной;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
balchug-kosmo;Балчуг;Космо;Космодамианская набережная;вода и виды, удобнее выезд на Садовое;Космо;;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
balchug-sadovnicheskaya;Балчуг;Садовническая;Садовническая улица и набережная;ближе к Садовому, спокойнее;Wine House, Садовническая 69;;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
zam-tretyakovskiy;Замоскворечье;Третьяковский;у Третьяковской галереи, Лаврушинский и Толмачёвские переулки;самый дорогой метр Замоскворечья, цена перегрета;Лаврушинский, Armani/Casa, Cloud Nine, Пыжевский, Barkli Gallery, Русские сезоны, Меценат;55.7414,37.6202 Третьяковская галерея;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
zam-tatarskiy;Замоскворечье;Татарский;Большая и Малая Татарская;камерные дома и один большой проект;Аквамарин, Четыре солнца, Quartier d'Or, Татарская 35, Боген Хаус;;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
zam-ordynka;Замоскворечье;Ордынка;между Татарским и Третьяковским, ближе к Садовому;легче уехать на Садовое, чем из верхнего Замоскворечья;Малая Ордынка 19, Ордынка 25, Казачий;;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
zam-yakimanka;Замоскворечье;Якиманка;к Музеону и Якиманской набережной;"Музеон, парк, вода; умеренный метр, разношёрстная застройка";Полянка 44, Имперский дом, Коперник, Mon Cher;55.7391,37.6138 Музеон;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
za-sadovym-paveletskaya;За Садовым;Павелецкая;за Садовым у Павелецкого вокзала;уже не центр: другая застройка, земля и класс;Vauxhall, Mont Blanc;55.7304,37.6365 Павелецкий вокзал;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
za-sadovym-shabolovka;За Садовым;Шаболовка;за Садовым, Шаболовка и Мытная;уже не центр: другая застройка, земля и класс;Английский квартал, Скай Хаус;;"курс «Элитная Москва», урок 2; названия авторские, границы условные"
