slug;school_id;korpus_id;walk_min;walk_m
1-y-nagatinskiy;shkola-507;shkola-507-2;14;1062
1-y-nagatinskiy;osm-41-mezhdunarodnyy-innovatsionnyy-;osm-41-mezhdunarodnyy-innovatsionnyy--1;19;1414
1-y-nagatinskiy;osm-97-litsey-504;osm-97-litsey-504-1;25;1899
1-y-nagatinskiy;shkola-630-im-g-p-kravchenko;shkola-630-im-g-p-kravchenko-6;27;2000
1-y-nagatinskiy;osm-404-shkola-574;osm-404-shkola-574-1;27;2014
1-y-nagatinskiy;shkola-1450-olimp;shkola-1450-olimp-4;30;2231
2-y-irtyshskiy;shkola-319;shkola-319-3;9;688
2-y-irtyshskiy;osm-426-shkola-1035;osm-426-shkola-1035-1;19;1446
2-y-irtyshskiy;osm-393-shkola-708;osm-393-shkola-708-1;19;1449
2-y-irtyshskiy;shkola-2033;shkola-2033-1;25;1851
2-y-irtyshskiy;tsentr-obrazovaniya-i-sporta-lokomotiv;tsentr-obrazovaniya-i-sporta-lokomotiv-1;26;1913
26-parkvyu;pervyy-moskovskiy-kadetskiy-korpus;pervyy-moskovskiy-kadetskiy-korpus-1;10;718
26-parkvyu;shkola-1454-timiryazevskaya;shkola-1454-timiryazevskaya-4;11;862
26-parkvyu;shkola-1236-im-s-v-milashenkova;shkola-1236-im-s-v-milashenkova-1;18;1367
26-parkvyu;shkola-218;shkola-218-2;19;1414
26-parkvyu;osm-562-shkola-1164;osm-562-shkola-1164-1;26;1972
26-parkvyu;osm-513-finansovo-ekonomicheskaya-shko;osm-513-finansovo-ekonomicheskaya-shko-1;27;2013
26-parkvyu;osm-630-shkola-968;osm-630-shkola-968-1;29;2183
a22;osm-585-shkola-548-tsaritsyno;osm-585-shkola-548-tsaritsyno-1;14;1031
a22;osm-501-shkola-494-im;osm-501-shkola-494-im-1;21;1610
a22;shkola-547;shkola-547-2;22;1667
a22;shkola-630-im-g-p-kravchenko;shkola-630-im-g-p-kravchenko-6;27;2010
a22;shkola-1257;shkola-1257-1;27;2036
a22;shkola-1272;shkola-1272-1;29;2189
admiral;osm-641-shkola-1041;osm-641-shkola-1041-1;7;548
admiral;osm-154-shkola-918;osm-154-shkola-918-1;9;670
admiral;shkola-im-i-s-polbina;shkola-im-i-s-polbina-2;12;884
admiral;osm-234-shkola-519;osm-234-shkola-519-1;16;1213
admiral;shkola-1524;shkola-1524-1;23;1747
admiral;osm-625-shkola-338;osm-625-shkola-338-1;24;1773
admiral;osm-156-shkola-773;osm-156-shkola-773-1;25;1888
admiral;osm-155-gbou-shkola-1256;osm-155-gbou-shkola-1256-1;26;1980
admiral;osm-619-shkola-1148;osm-619-shkola-1148-1;29;2191
afi-tower;shkola-sviblovo;shkola-sviblovo-1;8;571
afi-tower;osm-45-pravoslavnaya-shkola-im-prepod;osm-45-pravoslavnaya-shkola-im-prepod-1;22;1644
afi-tower;pervyy-moskovskiy-obrazovatelnyy-kompleks;pervyy-moskovskiy-obrazovatelnyy-kompleks-4;22;1669
afi-tower;shkola-1499-im-i-a-dokukina;shkola-1499-im-i-a-dokukina-1;29;2210
ahead;osm-413-shkola-696;osm-413-shkola-696-1;5;338
ahead;osm-412-shkola-1114;osm-412-shkola-1114-1;5;379
ahead;osm-46-akademicheskaya-gimnaziya;osm-46-akademicheskaya-gimnaziya-1;29;2145
aktsenty;osm-455-shkola-1678;osm-455-shkola-1678-1;8;566
aktsenty;osm-382-shkola-222;osm-382-shkola-222-1;8;598
aktsenty;shkola-1449-im-m-v-vodopyanova;shkola-1449-im-m-v-vodopyanova-2;19;1449
aktsenty;shkola-1296;shkola-1296-1;21;1583
aktsenty;shkola-771;shkola-771-2;22;1637
aktsenty;shkola-1794-im-a-s-chufistova;shkola-1794-im-a-s-chufistova-3;23;1715
aktsenty;osm-547-shkola-1291-s-uglublennym-izuc;osm-547-shkola-1291-s-uglublennym-izuc-1;23;1747
aktsenty;shkola-183;shkola-183-1;24;1777
aktsenty;osm-375-shkola-1631-imeni-geroya-sovet;osm-375-shkola-1631-imeni-geroya-sovet-2;24;1784
aktsenty;osm-181-gimnaziya-1592;osm-181-gimnaziya-1592-1;24;1785
aktsenty;osm-350-shkola-1416;osm-350-shkola-1416-1;26;1969
aktsenty;osm-495-tsentr-obrazovaniya-1490;osm-495-tsentr-obrazovaniya-1490-1;28;2126
aktsenty;osm-444-shkola-1121;osm-444-shkola-1121-1;30;2217
aktsenty;osm-348-shkola-302;osm-348-shkola-302-1;30;2239
akvilon-beside-2-0;shkola-1363;shkola-1363-7;4;334
akvilon-beside-2-0;osm-81-shkola-398;osm-81-shkola-398-1;9;689
akvilon-beside-2-0;shkola-2090-im-l-h-papernika;shkola-2090-im-l-h-papernika-2;12;931
