product_id;kategoriya;bank;produkt;stavka;min_pv;max_summa;srok;usloviya;krupnyi_chek;source;checked
b01;Рынок;Банк России;Ключевая ставка;14,00%;—;—;—;сохранена 11.09.2026, следующее заседание 23.10.2026;—;https://www.cbr.ru/press/keypr/;11.09.2026
b02;Рынок;ДОМ.РФ, топ-20 банков;Средняя рыночная ставка: новостройка / вторичка / рефинансирование;18,71% / 18,68% / 18,37%;—;—;—;неделя 6–12.07.2026, с января −2,5 п.п.;—;https://realty.rbc.ru/news/6a54bd529a794764ea87f526;13.07.2026
b03;Рынок;Frank RG по данным ЦБ;Средневзвешенная ставка по всем выдачам с льготными;10,52% (первичка 7,43%);—;—;—;на 01.08.2026;—;https://frankrg.com/data-hub/category/mortgage/chart/29497;01.08.2026
b04;Рынок;Банк России;Лимиты на рискованную ипотеку в стройке;—;<20% только в пределах лимита;—;—;5% выдач с ПДН>80% или ПВ<20%, из них 1% с ПДН>50% и ПВ<20%;—;https://cbr.ru/press/pr/?file=639130820712099203FINSTAB.htm;29.04.2026
b05;Рынок;Банк России;Нецелевые кредиты под залог недвижимости;—;—;—;—;с IV кв. лимиты как у необеспеченных: ПДН>50% — 15%, ПДН>80% — 1%;да;https://rb.ru/news/cb-uzhestochil-vydachu-kreditov-ogranicheniya-kosnutsya-zayomshikov-s-dolgovoj-nagruzkoj-prevyshayushej-polovinu-dohoda/;27.07.2026
b06;Рынок;Все банки;Подтверждение дохода;—;—;—;—;с 01.04.2026 в ПДН только официальный доход по ФНС и СФР, справка по форме банка не работает;да;https://www.kommersant.ru/doc/8606151;22.04.2026
b07;Госпрограмма;Семейная ипотека;Льготная;6%;20%;12 млн (Москва и МО);до 30 лет;с 01.02.2026 одна на семью, оба супруга созаёмщики, дифференциация ставок обсуждается с 01.10.2026;нет;https://www.klerk.ru/user/2528358/705170/;2026
b08;Госпрограмма;IT-ипотека;Льготная;6%;20%;9 млн;до 30 лет;город Москва исключён, в МО доступна, зарплата от 150 тыс;нет;https://www.novostroy-m.ru/statyi/itipoteka_v_2026_godu;09.04.2026
b09;Банк;ДОМ.РФ;Новостройка, рыночная;от 17,3%;20%;не подтверждено;—;на 01.09.2026;?;https://t-j.ru/ipoteka-now/;16.09.2026
b10;Банк;ПСБ;Новостройка, рыночная;от 17,45%;20%;не подтверждено;—;на 01.09.2026;?;https://t-j.ru/ipoteka-now/;16.09.2026
b11;Банк;ВТБ;Новостройка, рыночная;от 17,5–18%;20,1% (30% без подтверждения дохода);100 млн;до 30 лет;скидка за крупный ПВ урезана с 1 до 0,5 п.п.;да;https://brobank.ru/ipoteka/;09.2026
b12;Банк;Газпромбанк;Новостройка, рыночная;17,7% от 7 млн / 18,6% меньше;20,1%;80 млн;до 20 лет;ПСК 18,3–26,3%;да;https://www.gazprombank.ru/personal/take_credit/mortgage/5546683/;20.09.2026
b13;Банк;Сбер;Новостройка, рыночная;18,7% базовая, от 15,2% с дисконтами;20%;100 млн;до 30 лет;−0,5 п.п. при ПВ 20,1–30%;да;https://t-j.ru/ipoteka-now/;16.09.2026
b14;Банк;Альфа-Банк;Новостройка, рыночная;18,99–19,39%;30,1%;100 млн;3–30 лет;ПСК 18–26,6%;да;https://brobank.ru/ipoteka-alfabank-novostrojki/;19.03.2026
b15;Банк;Совкомбанк;Новостройка, рыночная;от 18,49–18,99%;20,01%;50 млн;5–30 лет;—;нет;https://brobank.ru/ipoteka/;09.2026
b16;Банк;Т-Банк;Новостройка по ДДУ;от 12,5% (скорее с субсидией застройщика);20%;100 млн;до 30 лет;по паспорту и СНИЛС без подтверждения дохода, апартаменты не кредитует;да;https://www.tbank.ru/mortgage/newbuildings-mortgage/;20.09.2026
b17;Банк;МКБ;Новостройка, рыночная;15,9%;20%;не подтверждено;—;бонус за быструю сделку отменён;?;https://t-j.ru/ipoteka-now/;16.09.2026
b18;Крупный чек;Private banking;Индивидуальные условия;на 2–4 п.п. ниже рыночной (оценка);кредит 30–60% стоимости;—;—;экспертная оценка, условия банков не подтверждены;да;https://www.finversia.ru/publication/dengi-pod-zalog-nedvizhimosti-pochemu-bogatye-berut-ipoteku-na-ultrapremialnoe-zhile-i-kak-na-etom-zarabatyvayut-169218;2026
b19;Крупный чек;Рынок;Ипотека на апартаменты;на 1–2 п.п. выше, ВТБ от 18,4%;20–30%;до 100 млн у отдельных программ;—;госпрограммы и маткапитал не применяются;да;https://www.sravni.ru/ipoteka/na-apartamenty/;20.09.2026
b20;Хитрый продукт;Сбер;Конец коротких субсидий застройщиков;—;—;—;—;с 01.10.2026 ставки со скидкой на 1–5 лет прекращаются, сделки по старым условиям до 29.09.2026, остаются субсидии на весь срок (от 13%);?;https://polis812.ru/blog/sber-menyaet-usloviya-subsidirovannoj-ipoteki-s-1-oktyabrya-2026-goda/;09.09.2026
b21;Хитрый продукт;Сбер (и ВТБ точечно);Траншевая ипотека;18–20%;20,1–30,1%;—;—;комиссия 0,2% суммы кредита, только с партнёрами-застройщиками;?;https://rb.ru/reviews/transhevaja-ipoteka-chto-eto/;2026
b22;Хитрый продукт;Сбер;Покупка ставки разовым платежом;−1 п.п. на весь срок ≈ 2,7% кредита, −2 п.п. ≈ 5,8%;—;—;—;актуальность на 2026 не подтверждена;да;https://blog.domclick.ru/ipoteka/post/snizhenie-svoej-stavki-kak-poluchit-skidku-po-ipoteke-do-1-5-pri-edinorazovom-platezhe;~2024
b23;Хитрый продукт;Застройщики;Ипотека без ПВ / рассрочка ПВ;—;0–10% у застройщика;—;—;у банков почти закрыта лимитами ЦБ, субсидирование ПВ застройщиком запрещено стандартом ЦБ;нет;https://www.gazprombank.ru/pro-finance/mortgage/pervonachalnyj-vznos-po-ipoteke/;2026
