dev_id;developer;otkrytost;sayt;katalog;filtry;planirovki;primer;proverennye_proekty;primechanie;provereno;zhk_v_prodazhe_v_baze
mr-group;MR Group;открыто;https://www.mr-group.ru;https://www.mr-group.ru/flats/;да;да;ФЕЙМОС: 2-комн. 62,1 м², 20/57 эт. — 48 872 700 ₽ (спеццена 41 053 068 ₽);ФЕЙМОС, МОД, СЕТ, Веер, ДЖОЙС, Сити Бэй, СИТИДЗЕН, Селигер Сити, Метрополия, МИРА, СЛАВА, С5, 26 ПАРКВЬЮ, Симфония 34, ОНЕ, Форум, Николь, Люче, Кло 17, Казачий, Климашкина 7/11;"Общий выборщик (~5200 квартир) с фильтрами по проекту/комнатам/цене/площади; у каждого лота цена, площадь, этаж, корпус, отделка, планировка. Цены открыты и у делюкс-линейки MR Private (Николь, Люче, Кло 17, Казачий, Климашкина, Форум). У бизнес/премиум-лотов показаны полная цена и «специальная цена» со скидкой до 25% (ограниченный срок). Хайд — 0 лотов; Level Павелецкая Сити и Veil на сайте MR нет.";23.09.2026;24
sminex;Sminex;открыто;https://www.sminex.com;https://www.sminex.com/podbor-nedvizhimosti;да;да;Life Time: 1 спальня, 55,5 м², корп. E, 2 эт. — 69 540 000 ₽;Life Time, Тишинский бульвар, Фрунзенский, Лаврушинский, Палашёвский 11, Фон Дессин, Ильинка 3/8, Обыденский №1, Foriver, West Garden;"Выборщик «Выбор по параметрам» — 848 лотов по 10 проектам, у каждого цена, площадь, этаж, корпус, число спален, планировка, цена за м²; фильтры по проекту, спальням, площади, цене. Комнатность — по числу спален (евро). Городская усадьба, Рождественка 8, Достижение, Will Towers в выборщике без лотов/отсутствуют.";23.09.2026;16
gk-osnova;ГК Основа;открыто;https://gk-osnova.ru;https://gk-osnova.ru/kupit-kvartiru;да;да;Мираполис: 2-комн. 60,6 м² — 19,25 млн (со скидкой 10%);Мираполис, Эмоушен;"Общий каталог ~1900 лотов с ценой, площадью, этажом и номером; у Эмоушн на момент проверки «нет доступных предложений» на странице проекта";23.09.2026;12
forma;Forma (ПИК);открыто;https://forma.ru;https://forma.ru/market/list;да;да;Индиво: студия 22,93 м², корп. 4.1, 2 эт. — 19 357 506 ₽ (текущая цена 17 034 605 ₽);Соул, Пейв, Татум, Моментс, Портленд, Индиво, Натив;"FORMA: общий каталог forma.ru/market/list — 734 квартиры в 7 проектах с ценой, площадью, корпусом, этажом, номером, отделкой, датой ключей, планировкой; фильтры по спальням/цене/площади/проекту. Показаны полная цена и цена со скидкой. ПИК: www.pik.ru в браузере отдаёт 403 Forbidden (защита Qrator) — цены ПИК не проверены. republic.forma.ru не открылся; Republic, L67, Касаткина 11 в каталоге FORMA отсутствуют.";23.09.2026;10
level-group;Level Group (СЗ МастерСтрой);открыто;https://level.ru;https://level.ru/filter/;да;;Level Войковская: 1-комн. 43,2 м² — 24,63 млн (со скидкой 20%, без скидки 30,78 млн);Level Войковская;"Выборщик с номерами лотов, корпусом, этажом, ценой; наличие картинок планировок в выдаче инструментом не подтверждено";23.09.2026;10
gk-fsk;ГК ФСК;открыто;https://fsk.ru;https://fsk.ru/amber-city/flats;да;да;Амбер Сити: студия 28 м² (корп. 6, эт. 3, №1366) — 19,32 млн;Амбер Сити (AMBER CITY);"Выборщик по проекту: 335 лотов с номером, этажом, ценой; фильтры по корпусу, комнатам, цене, площади";23.09.2026;9
gruppa-lsr;Группа ЛСР;открыто;https://www.lsr.ru/msk/;https://www.lsr.ru/msk/kvartiry-v-novostroikah/;да;да;Обручева 30: студия 24,7 м², корп. 1-2, 45 эт. — 18 257 153 ₽ по акции (базовая цена 20 429 789 ₽);Обручева 30, Вейв, Парксайд, Ленинградка 58, Лё Дом (le-dome.ru), Шаболовка, 34;"Общий выборщик ЛСР Москва (1869 квартир в ЛУЧИ, Дмитровское небо, Парксайд, Вейв, ЗИЛАРТ, Обручева 30) с фильтрами по комнатности/цене/сроку/отделке; у каждой квартиры площадь, цена, этаж, корпус, срок, отделка, планировка, PDF. У лотов «Акция» в списке — спеццена, на карточке — и «Базовая цена». Ленинградка 58 — «Квартир нет в продаже». Лё Дом продаётся через отдельный сайт le-dome.ru без цен (по запросу). Шаболовка, 34 на сайте нет (анонс).";23.09.2026;8
gk-granel;ГК Гранель;открыто;https://granelle.ru;https://granelle.ru/flats;да;да;Павелецкая от Гранель: 1-комн. 43,2 м² (корп. 2, эт. 10) — 32,32 млн;Павелецкая от Гранель (MYPRIORITY Paveletskaya), Даниловский от Гранель;"Общий выборщик лотов с корпусом, этажом, сроком, площадью и ценой; страницы с фильтром по проекту закрыты robots.txt для инструмента";23.09.2026;7
donstroy;Донстрой;открыто;https://donstroy.moscow;https://donstroy.moscow/full-search/;да;да;Символ: студия 28,6 м², «Гордость», корп. 39, 9 эт. — 18 120 960 ₽ (без скидки 20 592 000 ₽);Символ, Река, Татарская 35, Событие, Остров, Начало, ДОМ XXII;"«Расширенный подбор» — 1851 квартира по всем проектам (Символ, Событие, Остров, Начало, Река, Татарская 35, ДОМ XXII, Огни и др.) с ценой, старой ценой при скидке, площадью, этажом, корпусом, отделкой, планировкой; фильтры по цене/площади/этажу/классу. Лоты «цена по запросу» из выдачи исключаются (фильтр !UF_PRICE_REQUEST), но у Реки и Татарской 35 цены показаны. На странице выборщика есть невидимая Yandex SmartCaptcha, данные грузятся без неё.";23.09.2026;7
gruppa-etalon;Группа Эталон;открыто;https://etalongroup.ru/msk/;https://etalongroup.ru/msk/choose/flat/;да;;Шагал: студия 24,7 м² (16 эт., №553) — 24,82 млн;Shagal (Шагал), Voxhall (Воксхолл);"Общий выборщик ~675 лотов с этажом, номером, сроком, площадью и ценой; картинки планировок в выдаче инструментом не подтверждены";23.09.2026;6
