pent_id;slug;foto;zhk;developer;okrug;district;address;count;area_m2;floor;price_total;price_m2;features;status;source;checked
p01;le-dom;;Le Dome;;ЦАО;Хамовники;Соймоновский проезд;;свыше 900;;от 9000000000;10000000;самый дорогой пентхаус на первичном рынке Москвы по рейтингу Kalinka (май 2026);в продаже;https://realty.ria.ru/20260526/penthaus-2094751326.html | https://1prime.ru/20260526/pentkhaus-870220293.html;14.09.2026
p02;obydenskiy-1;;Обыденский №1;Sminex;ЦАО;Хамовники;3-й Обыденский переулок;3;348-781;6;3231970000-8300000000;9071432-10600000;террасы, потолки 3,7-4,35 м, возможность персонального лифта, класс de-luxe, сдача 3 кв. 2026;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-obydenskiy-1/ | https://realty.ria.ru/20260526/penthaus-2094751326.html;14.09.2026
p03;brusov;;Клубный дом в Брюсовом переулке;;ЦАО;Тверской;Брюсов переулок;1;свыше 500;;от 6000000000;12000000;рекордная цена за квадратный метр в рейтинге Kalinka (май 2026);в продаже;https://realty.ria.ru/20260526/penthaus-2094751326.html | https://1prime.ru/20260526/pentkhaus-870220293.html;14.09.2026
p04;lavrushinskiy;;Лаврушинский;Sminex;ЦАО;Якиманка;Большой Толмачёвский переулок;10;163-664;7-14;862000000-4855000000;4850000-7760000;камины, собственные бассейны в лотах, потолки 3,85-8,25 м, террасы, 25-метровый бассейн и спа в доме;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-lavrushinskiy/ | https://1prime.ru/20260526/pentkhaus-870220293.html;14.09.2026
p05;luce;;Люче (Luce);MR Group;ЦАО;Арбат;Крестовоздвиженский переулок;4;302-767;6-7;1210440000-4601280000;4000000-5998044;гранд-пентхаус с персональным лифтом и отдельным входом с улицы, террасы, камин, интерьеры по проекту М. Казамонти, сдача 2 кв. 2027;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-lyuche/ | https://1prime.ru/20260526/pentkhaus-870220293.html;14.09.2026
p06;duo;;Duo;Hutton Development и V2Group;ЦАО;Якиманка;Софийская набережная 34с3;4;400-1182;6;941520000-5143440000;2348515-4350000;видовые террасы, вид на Кремль, потолки 3,1-3,2 м, архитектор Marco Casamonti, сдача 3 кв. 2026;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-duo/ | https://kupipenthouse.ru/kupit-penthouse/s-vidom-na-kreml/;14.09.2026
p07;frunzenskiy;;Фрунзенский;Sminex;ЦАО;Хамовники;Фрунзенская набережная;18;174-527;9-12;850260000-3172870000;4053573-6898287;16 лотов с террасами, потолки 3,32-7,17 м, парк 3 га, фитнес с 25-метровым бассейном, сдача 3 кв. 2027;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-frunzenskiy/;14.09.2026
p08;palashevskiy-11;;Палашёвский 11;Sminex;ЦАО;Тверской;Большой Палашёвский переулок;7;235-366;8;1460000000-2670000000;5560000-7300000;потолки до 7,4 м, двор-сад с прудом, de-luxe, сдача 1 кв. 2030;выйдет в продажу;https://kupipenthouse.ru/kupit-penthouse/zhk-palashevskiy-11/;14.09.2026
p09;tishinskiy-bulvar;;Тишинский бульвар;Sminex;ЦАО;Пресненский;Электрический переулок;19;94-246;6-14;225550000-628660000;1910000-3050000;собственная эксплуатируемая крыша под бассейн или джакузи, дровяные камины, потолки до 7,65 м, 13 лотов с террасой, сдача 2028;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-tishinskiy-bulvar/;14.09.2026
p10;kamerger;;Камергер;Ингеоцентр;ЦАО;Тверской;Камергерский переулок;6;163-508;4-6;472071160-2040452920;2703618-4015377;террасы у всех лотов, потолки 3,8-4,3 м, умный дом, de-luxe, сдача 3 кв. 2026;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-kamerger/;14.09.2026
p11;ilinka-3-8;;Ильинка 3/8;Sminex;ЦАО;Тверской;улица Ильинка 3/8;2;214-273;5;625010000-1009780000;2920607-3690716;потолки до 6,2 м в бетоне, выведенные дымоходы для каминов, de-luxe, сдача 1 кв. 2026;в продаже;https://kupipenthouse.ru/kupit-penthouse/zhk-ilinka-3-8/;14.09.2026
p12;dom-dau;;Дом Дау;Сумма элементов;ЦАО;Пресненский;Краснопресненская набережная, Москва-Сити;2;558,7-1080,5;84;1280000000-3030000000;2800000;двухуровневые, частные террасы, дровяной камин, ванная с окном, вид на Кремль и Москву-реку, сдача 2 кв. 2027;в продаже;https://www.mirkvartir.ru/journal/reviews/2026/02/02/sverhu-tolko-oblaka/;14.09.2026
