slug;check;answer;value;source;checked
1-y-nagatinskiy;01;да;ЮАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
1-y-nagatinskiy;02;нет;промзона 41 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
1-y-nagatinskiy;03;да;"Нагатинская (метро) — 9 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
1-y-nagatinskiy;04;нет;860 квартир;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
1-y-nagatinskiy;05;нет;0.31 м/м на квартиру (268 на 860);каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
1-y-nagatinskiy;06;нет данных;ЕРЗ: рейтинг не присвоен · сдано 2 дома за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/specializirovannyj-zastrojshhik-alfa-21811464001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
1-y-nagatinskiy;07;нет данных;строится: карточка проверки ЕИСЖС недоступна (блокировка сайта при выгрузке) · ввод по каталогу 31.12.2028;https://наш.дом.рф/сервисы/каталог-новостроек/объект/68144 (+ ещё 1 объект: 46163);23.09.2026
1-y-nagatinskiy;08;да;квартиры · эскроу есть (каталог наш.дом.рф) · разрешение на строительство и документы на участок не проверены: карточка проверки ЕИСЖС не получена (сайт заблокировал выгрузку);https://наш.дом.рф/сервисы/каталог-новостроек/объект/68144 (+ ещё 1 объект: 46163);23.09.2026
1-y-nagatinskiy;09;да;от 611 793 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
2-y-irtyshskiy;01;да;ВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
2-y-irtyshskiy;02;да;ТЭЦ, промзон и крупных магистралей в 150 м нет;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
2-y-irtyshskiy;03;нет;"Калошино (МЦК/МЦД/ж/д) — 18 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
2-y-irtyshskiy;04;да;693 квартир;каталоги и декларации (база 14.09);23.09.2026
2-y-irtyshskiy;05;нет;0.24 м/м на квартиру (166 на 693);каталоги и декларации (база 14.09);23.09.2026
2-y-irtyshskiy;06;да;ЕРЗ 5 · сдано 184 дома за 3 года (Москва и МО) · остановок нет · банкротств у застройщика дома нет (в группе — 15: см. zastroyshchiki.csv);ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/pik-429726001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
2-y-irtyshskiy;07;да;ввод: I кв. 2028 ⟶ IV кв. 2027 (-3 мес.) · готовность по графику декларации 20% · строится 2 из 2 корпусов (показан корпус с наибольшим сдвигом);https://наш.дом.рф/сервисы/каталог-новостроек/объект/63629 (+ ещё 1 объект: 58644);23.09.2026
2-y-irtyshskiy;08;да;квартиры · эскроу есть · разрешение на строительство действует до 29.05.2027 · участок: собственность;https://наш.дом.рф/сервисы/каталог-новостроек/объект/63629 (+ ещё 1 объект: 58644);23.09.2026
2-y-irtyshskiy;09;да;от 342 200 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
26-parkvyu;01;нет;за Третьим кольцом;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
26-parkvyu;02;да;плюсы: парк 49 м, вода 222 м (Большой пруд);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
26-parkvyu;03;нет;"Тимирязевская (МЦК/МЦД/ж/д) — 17 мин; школа с отметкой NOTA — Школа № 218, 1414 м";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
26-parkvyu;04;нет данных;;каталоги и декларации (база 14.09);23.09.2026
26-parkvyu;05;нет данных;;;23.09.2026
26-parkvyu;06;да;ЕРЗ 5 · сдано 13 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/mr-group-430836001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
26-parkvyu;07;да;ввод: II кв. 2029 ⟶ II кв. 2029 (без переноса) · готовность по графику декларации 0% · строится;https://наш.дом.рф/сервисы/каталог-новостроек/объект/72885;23.09.2026
26-parkvyu;08;да;квартиры · эскроу есть · разрешение на строительство действует до 13.07.2030 · участок: собственность;https://наш.дом.рф/сервисы/каталог-новостроек/объект/72885;23.09.2026
26-parkvyu;09;да;от 751 100 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
a22;01;да;ЮАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
a22;02;нет;магистраль 94 м (Третье транспортное кольцо);"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
a22;03;да;"Тульская (МЦК/МЦД/ж/д) — 14 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
a22;04;нет;907 квартир;каталоги и декларации (база 14.09);23.09.2026
a22;05;нет;0.30 м/м на квартиру (276 на 907);каталоги и декларации (база 14.09);23.09.2026
a22;06;да;ЕРЗ 3 · сдано 0 домов за 3 года (Москва и МО) · остановок нет · банкротств нет;ЕРЗ.РФ https://erzrf.ru/zastroyschiki/brand/konsol-4852898001 · ЕИСЖС наш.дом.рф: каталог новостроек, реестр застройщиков, реестр проблемных объектов · ЕФРСБ bankrot.fedresurs.ru;23.09.2026
a22;07;нет;ввод: IV кв. 2028 ⟶ I кв. 2030 (+15 мес.) · готовность по графику декларации 0% · строится · передача ключей 30.06.2029 ⟶ 30.09.2030;https://наш.дом.рф/сервисы/каталог-новостроек/объект/64921;23.09.2026
a22;08;да;квартиры · эскроу есть (Сбербанк) · разрешение на строительство действует до 10.03.2030 · участок: аренда;https://наш.дом.рф/сервисы/каталог-новостроек/объект/64921;23.09.2026
a22;09;да;от 606 469 ₽/м²;каталоги, декларации, сайты застройщиков (база 23.09);23.09.2026
admiral;01;да;ЮВАО;"координаты базы; кольцо — схема из nota-karta-zhk";23.09.2026
admiral;02;да;плюсы: парк 273 м (Народный парк Гурьянова), вода 418 м;"OpenStreetMap (bbbike 22.09.2026 + Overpass): ТЭЦ, МСЗ, полигоны отходов, промзоны от 2 га, магистрали; парки от 1 га и вода — 500 м";23.09.2026
admiral;03;да;"Депо (МЦК/МЦД/ж/д) — 13 мин; школы с отметкой NOTA в 30 минутах нет";"OpenStreetMap, пешеходный граф (Дейкстра, 4,5 км/ч): метро, МЦК, МЦД, ж/д; marshruty.csv, shkoly.csv";23.09.2026
admiral;04;нет;4715 квартир;каталоги и декларации (база 14.09);23.09.2026
