school_id;school;in_nota_base;type;tier;building;lat;lon;source;osm_id
litsey-vtoraya-shkola-im-v-f-ovchinnikova;Лицей «Вторая школа» им. В.Ф. Овчинникова;да;Городская;Отметка;"Лицей ""Вторая Школа""";55.697813;37.556363;OpenStreetMap, корпус;w30414756
pyatdesyat-sedmaya-shkola;Пятьдесят седьмая школа;да;Городская;Отметка;Школа № 57 (здание № 2);55.730092;37.580814;OpenStreetMap, корпус;r5359641
pyatdesyat-sedmaya-shkola;Пятьдесят седьмая школа;да;Городская;Отметка;Школа №57 (здание №3);55.720603;37.569042;OpenStreetMap, корпус;r6758026
pyatdesyat-sedmaya-shkola;Пятьдесят седьмая школа;да;Городская;Отметка;Школа №57 (здание №1);55.748759;37.604957;OpenStreetMap, корпус;r14573448
shkola-179;Школа № 179;да;Городская;Отметка;Школа № 179;55.759661;37.614815;OpenStreetMap, корпус;r8675635
shkola-1535;Школа № 1535;да;Городская;Отметка;Лицей № 1535;55.726049;37.565101;OpenStreetMap, корпус;r6728142
shkola-1535;Школа № 1535;да;Городская;Отметка;Лицей № 1535;55.731105;37.562031;OpenStreetMap, корпус;r7717004
shkola-tsentra-pedagogicheskogo-masterstva-tspm;Школа Центра педагогического мастерства (ЦПМ);да;Частная;Отметка;Центр педагогического мастерства;55.789925;37.621276;OpenStreetMap, корпус;r1249599
shkola-tsentra-pedagogicheskogo-masterstva-tspm;Школа Центра педагогического мастерства (ЦПМ);да;Частная;Отметка;Школа ЦПМ;55.753771;37.653585;OpenStreetMap, корпус;n13265226937
shkola-2007-fmsh;Школа № 2007 ФМШ;да;Городская;Отметка;адрес: ул. Горчакова, д. 9, корп. 1;55.544750;37.532770;адрес из базы;
litsey-niu-vshe;Лицей НИУ ВШЭ;да;Вузовская;Отметка;Лицей НИУ ВШЭ;55.769738;37.618784;OpenStreetMap, корпус;r7612096
litsey-niu-vshe;Лицей НИУ ВШЭ;да;Вузовская;Отметка;Лицей НИУ ВШЭ;55.763642;37.643923;OpenStreetMap, корпус;r7997756
litsey-niu-vshe;Лицей НИУ ВШЭ;да;Вузовская;Отметка;Лицей НИУ ВШЭ;55.760800;37.651978;OpenStreetMap, корпус;r8796311
litsey-niu-vshe;Лицей НИУ ВШЭ;да;Вузовская;Отметка;Лицей НИУ ВШЭ;55.752370;37.637436;OpenStreetMap, корпус;n6299092036
shkola-letovo;Школа «Летово»;да;Частная;Отметка;адрес: пос. Сосенское, Зимёнковская ул., д. 3;55.557410;37.422280;адрес из базы;
shkola-1568-im-pablo-nerudy;Школа № 1568 им. Пабло Неруды;да;Городская;Отметка;Лицей №1568;55.874535;37.642876;OpenStreetMap, корпус;w42528898
