school;school_id;type;tier;nota_index;okrug;district;buildings;zhk_10;zhk_15;zhk_20;zhk_30;zhk_list_20
Лицей «Вторая школа» им. В.Ф. Овчинникова;litsey-vtoraya-shkola-im-v-f-ovchinnikova;Городская;Отметка;100;ЮЗАО;Гагаринский;1;0;0;0;2;
Пятьдесят седьмая школа;pyatdesyat-sedmaya-shkola;Городская;Отметка;96;ЦАО;Хамовники;3;5;14;21;37;"LUCE (Люче) — 7 мин; Олсуфьевский 10 — 7 мин; Воздвиженка 7/6 — 8 мин; Льва Толстого 14 — 9 мин; ДОМ XXII — 10 мин; Фрунзенский — 11 мин; Никитский 6 — 12 мин; Коллекция Лужники (Luzhniki Collection) — 12 мин; Усачева 22 — 13 мин; Лё Дом (Le Dome) — 13 мин; Обыденский №1 — 13 мин; EDEN — 14 мин; Stella di Mosca — 15 мин; CLOS 17 — 15 мин; Красный Октябрь — 15 мин; Большая Пироговская 51 — 15 мин; Annabel's (1913) — 17 мин; Хамовники 12 — 17 мин; Узоры — 18 мин; Большая Никитская 16 — 19 мин; Vesper Погодинская — 20 мин"
Школа № 179;shkola-179;Городская;Отметка;95;ЦАО;Тверской;1;0;5;10;19;"Кузнецкий Мост 12 — 10 мин; Камергер — 11 мин; Stella di Mosca — 12 мин; Николь (Nicole) — 14 мин; Ильинка 3/8 — 15 мин; Большая Никитская 16 — 17 мин; EDEN — 18 мин; Рождественка 8 — 19 мин; Воздвиженка 7/6 — 19 мин; LUCE (Люче) — 19 мин"
Школа № 1535;shkola-1535;Городская;Отметка;94;ЦАО;Хамовники;2;4;5;9;12;"Vesper Погодинская — 3 мин; Усачева 22 — 5 мин; Большая Пироговская 51 — 7 мин; Саввинская 27 — 9 мин; ДОМ XXII — 12 мин; Коллекция Лужники (Luzhniki Collection) — 16 мин; Хамовники 12 — 18 мин; Олсуфьевский 10 — 19 мин; Узоры — 20 мин"
Школа Центра педагогического мастерства (ЦПМ);shkola-tsentra-pedagogicheskogo-masterstva-tspm;Частная;Отметка;93;ЦАО;Мещанский;2;1;5;9;18;"Chkalov — 8 мин; Тессинский V — 10 мин; MOD — 13 мин; Костомаровский, 15 — 13 мин; Берниковская набережная 12 — 14 мин; Дом Франка — 18 мин; Mariinn Park — 20 мин; Октябрьская 98 (Mirror) — 20 мин; Фон Дессин (Fon Dessin) — 20 мин"
Школа № 2007 ФМШ;shkola-2007-fmsh;Городская;Отметка;93;ЮЗАО;Южное Бутово;1;0;0;0;0;
Лицей НИУ ВШЭ;litsey-niu-vshe;Вузовская;Отметка;91;ЦАО;Красносельский;4;4;7;18;30;"Veil (Роден) — 5 мин; Фон Дессин (Fon Dessin) — 8 мин; Chkalov — 9 мин; Рождественка 8 — 10 мин; Форум (Forum) — 13 мин; Тессинский V — 14 мин; Turgenev (Клубный дом Тургенев) — 15 мин; Малая Дмитровка 5/9 — 15 мин; RED7 — 15 мин; Ильинка 3/8 — 15 мин; Кузнецкий Мост 12 — 16 мин; Николь (Nicole) — 16 мин; Берниковская набережная 12 — 16 мин; Фантом (Phantom) — 17 мин; Энигмия — 18 мин; Демидов 26 — 19 мин; Космо 4/22 — 19 мин; Камергер — 20 мин"
Школа «Летово»;shkola-letovo;Частная;Отметка;88;НАО;поселение Сосенское;1;0;0;0;0;
Школа № 1568 им. Пабло Неруды;shkola-1568-im-pablo-nerudy;Городская;Отметка;85;СВАО;Южное Медведково;2;0;0;0;0;
Школа № 1502 «Энергия»;shkola-1502-energiya;Городская;Отметка;83;ВАО;Новогиреево;3;0;0;0;0;
