school_id;name;category;tier;marked;index;grant;okrug;district;address;site;korpusov;lat;lon;geo_precision
litsey-vtoraya-shkola-im-v-f-ovchinnikova;Лицей «Вторая школа» им. В.Ф. Овчинникова;Городская;Отметка;да;100;I степени;ЮЗАО;Гагаринский;ул. Фотиевой, д. 18;https://lycuz2.mskobr.ru/;1;55.69781;37.55636;дом
pyatdesyat-sedmaya-shkola;Пятьдесят седьмая школа;Городская;Отметка;да;96;I степени;ЦАО;Хамовники;Малый Знаменский пер., д. 7/10, стр. 5;https://57.mskobr.ru/;3;55.74856;37.60514;дом
shkola-179;Школа № 179;Городская;Отметка;да;95;I степени;ЦАО;Тверской;ул. Большая Дмитровка, д. 5/6, стр. 7;https://schc179.mskobr.ru/;1;55.76033;37.61491;дом
shkola-1535;Школа № 1535;Городская;Отметка;да;94;I степени;ЦАО;Хамовники;ул. Усачёва, д. 50;https://lyc1535.mskobr.ru/;2;55.72605;37.56527;дом
shkola-tsentra-pedagogicheskogo-masterstva-tspm;Школа Центра педагогического мастерства (ЦПМ);Частная;Отметка;да;93;II степени;ЦАО;Мещанский;Олимпийский пр-т, д. 11, корп. 1 + площадки Марьина Роща, Курская;https://школа-цпм.рф/;2;55.79054;37.62240;улица
shkola-2007-fmsh;Школа № 2007 ФМШ;Городская;Отметка;да;93;I степени;ЮЗАО;Южное Бутово;ул. Горчакова, д. 9, корп. 1;https://schuuz2007.mskobr.ru/;1;55.54475;37.53277;дом
litsey-niu-vshe;Лицей НИУ ВШЭ;Вузовская;Отметка;да;91;I степени;ЦАО;Красносельский;Большой Харитоньевский пер., д. 4;https://school.hse.ru/;4;55.76364;37.64392;дом
shkola-letovo;Школа «Летово»;Частная;Отметка;да;88;I степени;НАО;поселение Сосенское;пос. Сосенское, Зимёнковская ул., д. 3;https://letovo.ru/;1;55.55741;37.42228;дом
shkola-1568-im-pablo-nerudy;Школа № 1568 им. Пабло Неруды;Городская;Отметка;да;85;I степени;СВАО;Южное Медведково;пр-д Шокальского, д. 7, корп. 2;https://lyc1568.mskobr.ru/;2;55.87454;37.64288;дом
shkola-1502-energiya;Школа № 1502 «Энергия»;Городская;Отметка;да;83;I степени;ВАО;Новогиреево;ул. Молостовых, д. 10А;https://1502.mskobr.ru/;3;55.76070;37.83049;дом
