dev_id;name;erz_rating;erz_checked;sdano_3_goda;ostanovleno;bankrotstvo;sayt
3s-group;3S Group;;;;;;
afi-development;AFI Development;;;;;;
ant-development;ANT Development;;;;;;
apsis-globe;Apsis Globe;;;;;;
asterus;Asterus;;;;;;
bms-development;BMS Development;;;;;;
capital-alliance;Capital Alliance (СЗ Вражский);;;;;;
capital-group;Capital Group;;;;;;
coldy;COLDY;;;;;;
dar;DAR;;;;;;
dar;DAR (Дар Девелопмент);;;;;;
dar-development;Dar Development;;;;;;
dominanta;Dominanta;;;;;;
dominanta-coldy;Dominanta / COLDY;;;;;;
element-development;Element Development;;;;;;
engeo-development;Engeo Development;;;;;;
forma;FORMA;;;;;;
forma;Forma;;;;;;
forma;Forma (ПИК);;;;;;
gbk-group;GBK GROUP;;;;;;
glorax;GloraX;;;;;;
granard;Granard;;;;;;
gravion;GRAVION;;;;;;
hutton-development;Hutton Development;;;;;;
ikon-development;Ikon Development;;;;;;
ikon-development;IKON Development;;;;;;
ingrad;Ingrad;;;;;;
kr-properties;KR Properties;;;;;;
legenda-intelligent-development;LEGENDA Intelligent Development;;;;;;
level-group;Level Group;;;;;;
level-group;Level Group (СЗ МастерСтрой);;;;;;
level-group-mr-group;Level Group / MR Group;;;;;;
mr-group;MR Group;;;;;;
october-group;October Group;;;;;;
optima-development;Optima Development;;;;;;
palladio-group;PALLADIO Group;;;;;;
plato-development;PLATO Development;;;;;;
plus-development;Plus Development;;;;;;
r4s-group;R4S Group;;;;;;
rariteco;RARITECO;;;;;;
regions-development;Regions Development;;;;;;
rose-group;ROSE GROUP;;;;;;
sense-development;Sense Development;;;;;;
sezar-group;Sezar Group;;;;;;
sminex;Sminex;;;;;;
st-michael;St Michael;;;;;;
st-michael;ST Michael;;;;;;
stenoy;STENOY;;;;;;
stenoy;Stenoy;;;;;;
stone;STONE;;;;;;
stone;Stone;;;;;;
struktura-development;Struktura Development;;;;;;
tekta-group;TEKTA GROUP;;;;;;
touch;Touch;;;;;;
touch-development;Touch Development;;;;;;
uniq-development;UNIQ Development;;;;;;
upside-development;UPSIDE DEVELOPMENT;;;;;;
upside-development;Upside Development;;;;;;
vesper;Vesper;;;;;;
villagio-estate;Villagio Estate;;;;;;
villagio-estate-villagio-realty;Villagio Estate / Villagio Realty;;;;;;
vos-hod;Vos'hod;;;;;;
ziggurat-development;Ziggurat Development;;;;;;
a101;А101;;;;;;
absolyut-nedvizhimost;Абсолют Недвижимость;;;;;;
absolyut-premium;Абсолют Премиум;;;;;;
aeon-development;Аеон Девелопмент;;;;;;
ao-sz-sbersiti;АО СЗ СберСити (Рублёво-Архангельское);;;;;;
brusnika;Брусника;;;;;;
gals-development;Галс Девелопмент;;;;;;
gals-development;Галс-Девелопмент;;;;;;
gals-development;Галс-Девелопмент (СЗ Галс-Маслово);;;;;;
gk-balchug-development;ГК Балчуг Девелопмент;;;;;;
gk-granel;ГК Гранель;;;;;;
gk-kortros;ГК КОРТРОС;;;;;;
gk-mangazeya;ГК Мангазея;;;;;;
gk-osnova;ГК Основа;;;;;;
gk-pioner;ГК Пионер;;;;;;
gk-samolet;ГК Самолёт;;;;;;
gk-sever;ГК Север;;;;;;
gk-strana-development;ГК Страна Девелопмент;;;;;;
gk-summa-elementov;ГК Сумма элементов;;;;;;
gk-tashir;ГК Ташир;;;;;;
gk-tochno;ГК ТОЧНО;;;;;;
gk-fsk;ГК ФСК;;;;;;
glavstroy;Главстрой;;;;;;
glavstroy-moskva;Главстрой Москва;;;;;;
grad-development;Град Девелопмент;;;;;;
gruppa-akvilon;Группа Аквилон;;;;;;
gruppa-lsr;Группа ЛСР;;;;;;
gruppa-rodina;Группа Родина;;;;;;
gruppa-samolet;Группа Самолет;;;;;;
gruppa-etalon;Группа Эталон;;;;;;
guta-development;ГУТА-Девелопмент;;;;;;
donstroy;Донстрой;;;;;;
e-development;Е-Девелопмент;;;;;;
zareche-development;Заречье-девелопмент;;;;;;
konsol;Консоль;;;;;;
kontsern-krost;Концерн КРОСТ;;;;;;
krost-nedvizhimost;Крост Недвижимость;;;;;;
miel-nedvizhimost;Миэль-Недвижимость;;;;;;
mosrealstroy;Мосреалстрой;;;;;;
mosrealstroy;Мосреалстрой (УЭЗ);;;;;;
mssz-aeon;МССЗ / AEON;;;;;;
neostroy;Неострой;;;;;;
om-development;ОМ Девелопмент;;;;;;
oniks-development;Оникс-Девелопмент;;;;;;
ooo-mangazeya;ООО Мангазея;;;;;;
pik;ПИК;;;;;;
pik;ПИК+;;;;;;
rks-development;РКС Девелопмент;;;;;;
sz-5-donskoy;СЗ 5 Донской;;;;;;
sz-zhk-yarkiy-riga;СЗ ЖК Яркий. Рига;;;;;;
sz-lsr-obekt-m;СЗ ЛСР. Объект-М (Группа ЛСР);;;;;;
sz-siyanie;СЗ Сияние;;;;;;
sz-smolenskiy-bulvar;СЗ Смоленский бульвар;;;;;;
sz-sokolniki;СЗ Сокольники (Новая эра);;;;;;
sz-stadion-spartak;СЗ Стадион Спартак;;;;;;
sz-tretiy-rim;СЗ Третий Рим;;;;;;
sz-ekran;СЗ ЭКРАН;;;;;;
spetsstroy-1;Спецстрой-1;;;;;;
sreda;Среда;;;;;;
strana-development;Страна Девелопмент;;;;;;
talan;Талан;;;;;;
tekta-grupp;ТЕКТА ГРУПП;;;;;;
transstroyinvest;Трансстройинвест;;;;;;
uez;УЭЗ;;;;;;
tsentr-invest;Центр-Инвест;;;;;;
ezks;ЭЗКС;;;;;;
elita-eko-gk-imena;Элита-Эко / ГК Имена;;;;;;
