name;developer;class_final;class_declared;class_disputed;price_check;okrug;district;address;lat;lon;geo_precision;type;units_total;parking;stage;deadline;price_from_m2;penthouses;penthouse_flag;website;sources
Republic (Репаблик);FORMA;премиум;бизнес / премиум;да;;ЦАО;Пресненский;Пресненский Вал, вл. 21-27;55.77157;37.56888;адрес;квартиры;2651;1687;строится;IV кв. 2027;747000;да;да;https://republic.forma.ru/;https://novostroev.ru/novostroyki/moskva/cao/presnenskiy/republic/ https://mskguru.ru/novostroyki/1468-zhk-presnenskij-val-17 approx-coords
СТОУН Райз (STONE Rise);STONE;бизнес;бизнес / бизнес;да;;ЦАО;Таганский;Золоторожский Вал, вл. 11;55.75166;37.68688;адрес;квартиры;545;257;строится;IV кв. 2028;520000;;;https://stone.ru/;https://novostroev.ru/novostroyki/moskva/cao/taganskiy/rise/
Павелецкая от Гранель (MYPRIORITY Paveletskaya);ГК Гранель;бизнес;бизнес;;;ЦАО;Замоскворечье;Дубининская ул., 17;55.72726;37.63898;адрес;квартиры;377;104;строится;III кв. 2028;653000;;;;https://mskguru.ru/novostroyki/4746-zhk-mypriority-paveletskaya https://novostroev.ru/novostroyki/moskva/cao/zamoskvoreche/mypriority-paveletskaya/
Voxhall (Воксхолл);Группа Эталон;бизнес;бизнес;;;ЦАО;Замоскворечье;Летниковская ул., 4;55.72770;37.64439;адрес;квартиры+апартаменты;3776;596;строится;I кв. 2026;592000;;;;https://mskguru.ru/novostroyki/4806-zhk-voxhall https://www.cian.ru/novostroyki-biznes-klassa-moskva-cao-044/
Интеллигент;Мосреалстрой (УЭЗ);бизнес;бизнес;;;ЦАО;Басманный;Семёновская наб., 3;55.78089;37.70362;адрес;квартиры;813;161;строится;I кв. 2026;452000;;;;https://mskguru.ru/novostroyki/4589-zhk-intelligent https://novostroev.ru/novostroyki/moskva/cao/basmannyy/intelligent/
Шелепиха;УЭЗ;бизнес;бизнес;;;ЦАО;Пресненский;Шмитовский пр-д, 40;55.75606;37.52679;адрес;квартиры;653;234;строится;2026;410000;;;;https://mskguru.ru/novostroyki/1430-zhk-shelepihinskoe-shosse https://www.cian.ru/novostroyki-biznes-klassa-moskva-cao-044/
Костомаровский, 15;Центр-Инвест;бизнес;бизнес;;;ЦАО;Таганский;Костомаровский пер., вл. 15;55.75195;37.66462;адрес;апартаменты;143;164;анонс;I кв. 2027;;;;;https://novostroev.ru/novostroyki/moskva/cao/taganskiy/kostomarovskiy-15/ https://www.cian.ru/novostroyki-biznes-klassa-moskva-cao-044/
Scala (Скала);STENOY;бизнес;бизнес;;;ЦАО;Красносельский;ул. Гаврикова, вл. 11;55.78038;37.67451;адрес;квартиры;160;;анонс;II кв. 2028;;;;;https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/scala-skala/
RED7;ГК Основа;премиум;бизнес-премиум;да;;ЦАО;Красносельский;просп. Академика Сахарова, вл. 7;55.77117;37.64369;адрес;апартаменты;;;сдан, есть остатки;сдан;;;;;https://novostroev.ru/novostroyki/moskva/cao/krasnoselskiy/siluet-na-uglu-sadovogo-koltsa-i-prospekta-akademika-sakharova/ https://ama.ru/msk/moskva/tsao/biznes
Chkalov;Ikon Development;элитный;бизнес / премиум (Метриум), элит (kvadroom);да;цена не бьётся с классом;ЦАО;Басманный;Земляной Вал, 24/32;55.75783;37.65612;адрес;квартиры+апартаменты;396;;сдан, есть остатки;сдан;669000;;;;https://mskguru.ru/novostroyki/1301-zhk-chkalov https://novostroev.ru/novostroyki/moskva/cao/basmannyy/dom-chkalov/
