zhk;developer;zhk_class;zhk_okrug;zhk_district;zhk_geo_precision;school;school_id;in_nota_base;school_type;school_tier;nota_index;building;building_lat;building_lon;walk_min;walk_m;straight_m;detour;note;yandex_walk;yandex_transit;yandex_car
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Романовская школа;romanovskaya-shkola;да;Городская;;4;Романовская школа;55.768710;37.569632;6;447;322;1.39;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.768710,37.569632&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.768710,37.569632&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.768710,37.569632&rtt=auto
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Школа № 1950;shkola-1950;да;Городская;На заметку;27;Школа № 1950;55.768373;37.588153;19;1452;1261;1.15;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.768373,37.588153&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.768373,37.588153&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.768373,37.588153&rtt=auto
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Московская экономическая школа;osm-586-moskovskaya-ekonomicheskaya-sh;нет;Другая;;;Московская экономическая школа;55.760867;37.566200;20;1500;1203;1.25;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.760867,37.566200&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.760867,37.566200&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.760867,37.566200&rtt=auto
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Школа № 1241 «На Красной Пресне»;shkola-1241-na-krasnoy-presne;да;Городская;;7;Школа № 1241 «На Красной Пресне». Корпус 1;55.760114;37.563543;21;1585;1318;1.20;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.760114,37.563543&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.760114,37.563543&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.760114,37.563543&rtt=auto
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Школа № 1574;shkola-1574;да;Городская;На заметку;28;Лицей № 1574. ОП № 1;55.774548;37.590555;23;1715;1400;1.23;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.774548,37.590555&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.774548,37.590555&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.774548,37.590555&rtt=auto
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Центр образования №1447;osm-642-tsentr-obrazovaniya-1447;нет;Другая;;;Центр образования №1447;55.779783;37.588046;24;1785;1510;1.18;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.779783,37.588046&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.779783,37.588046&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.779783,37.588046&rtt=auto
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Пушкинская гимназия на Пресне;osm-568-pushkinskaya-gimnaziya-na-pres;нет;Другая;;;Пушкинская гимназия на Пресне;55.758625;37.570652;24;1823;1445;1.26;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.758625,37.570652&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.758625,37.570652&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.758625,37.570652&rtt=auto
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Школа № 1288 им. Н.В. Троян;shkola-1288-im-n-v-troyan;да;Городская;;21;Школа № 1288, корпус № 10;55.776127;37.551350;25;1900;1211;1.57;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.776127,37.551350&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.776127,37.551350&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.776127,37.551350&rtt=auto
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Школа № 2030;shkola-2030;да;Городская;;10;Школа № 2030;55.759996;37.555662;26;1919;1532;1.25;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.759996,37.555662&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.759996,37.555662&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.759996,37.555662&rtt=auto
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;"Школа ""Виктория""";osm-36-shkola-viktoriya;нет;Другая;;;"Школа ""Виктория""";55.757356;37.572348;27;2005;1597;1.26;;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.757356,37.572348&rtt=pd;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.757356,37.572348&rtt=mt;https://yandex.ru/maps/?rtext=55.771570,37.568880~55.757356,37.572348&rtt=auto
