zhk;developer;zhk_class;okrug;district;geo_precision;nearest_school;nearest_school_min;nearest_nota_school;nearest_nota_min;nota_10;nota_15;nota_20;nota_30;marked_20;marked_30;zametka_30;best_20;best_30;strong_5km_straight;note
Republic (Репаблик);FORMA;премиум;ЦАО;Пресненский;адрес;Романовская школа;6;Романовская школа;6;1;1;2;6;0;0;2;Школа № 1950 — 19 мин · на заметку · 27;Школа № 1574 — 23 мин · на заметку · 28;"Пятьдесят седьмая школа — 3,4 км · 96; Школа № 179 — 3,2 км · 95; Школа № 1535 — 4,5 км · 94";
СТОУН Райз (STONE Rise);STONE;бизнес;ЦАО;Таганский;адрес;Лицей №1303;7;Школа «Содружество»;18;0;0;2;5;0;0;1;Школа № 1468 — 18 мин · без пометки · 9;Инженерная школа № 1581 — 29 мин · на заметку · 39;"Школа № 179 — 4,6 км · 95; Школа Центра педагогического мастерства (ЦПМ) — 2,1 км · 93; Лицей НИУ ВШЭ — 2,4 км · 91";
Павелецкая от Гранель (MYPRIORITY Paveletskaya);ГК Гранель;бизнес;ЦАО;Замоскворечье;адрес;Школа № 627 им. Д.Д. Лелюшенко;7;Школа № 627 им. Д.Д. Лелюшенко;7;1;3;4;7;0;0;1;Экономический лицей РЭУ им. Г.В. Плеханова — 11 мин · на заметку · 25;Экономический лицей РЭУ им. Г.В. Плеханова — 11 мин · на заметку · 25;"Пятьдесят седьмая школа — 3,2 км · 96; Школа № 179 — 3,9 км · 95; Школа № 1535 — 4,6 км · 94";
Voxhall (Воксхолл);Группа Эталон;бизнес;ЦАО;Замоскворечье;адрес;Школа № 1553 им. В.И. Вернадского;14;Школа № 1553 им. В.И. Вернадского;14;0;1;3;6;0;0;1;Школа № 627 им. Д.Д. Лелюшенко — 15 мин · без пометки · 24;Экономический лицей РЭУ им. Г.В. Плеханова — 21 мин · на заметку · 25;"Пятьдесят седьмая школа — 3,4 км · 96; Школа № 179 — 4,0 км · 95; Школа № 1535 — 5,0 км · 94";
Интеллигент;Мосреалстрой (УЭЗ);бизнес;ЦАО;Басманный;адрес;Школа на Яузе;6;Школа на Яузе;6;1;2;2;7;0;0;2;Инженерная школа № 1581 — 12 мин · на заметку · 39;Инженерная школа № 1581 — 12 мин · на заметку · 39;"Школа Центра педагогического мастерства (ЦПМ) — 4,4 км · 93; Лицей НИУ ВШЭ — 3,9 км · 91; Школа № 2107 — 4,3 км · 44";
Шелепиха;УЭЗ;бизнес;ЦАО;Пресненский;адрес;Романовская школа;10;Романовская школа;10;0;2;2;4;0;0;2;Школа № 2048 — 12 мин · на заметку · 25;Образовательный центр «Протон» — 23 мин · на заметку · 26;"Пятьдесят седьмая школа — 4,5 км · 96; Школа № 1535 — 3,6 км · 94; Лицей Финансового университета — 5,0 км · 75";
Костомаровский, 15;Центр-Инвест;бизнес;ЦАО;Таганский;адрес;Инженерная школа № 1581;2;Инженерная школа № 1581;2;2;5;6;8;1;2;2;Школа Центра педагогического мастерства (ЦПМ) — 13 мин · отметка · 93;Школа Центра педагогического мастерства (ЦПМ) — 13 мин · отметка · 93;"Пятьдесят седьмая школа — 3,8 км · 96; Школа № 179 — 3,2 км · 95; Школа Центра педагогического мастерства (ЦПМ) — 0,7 км · 93";
Scala (Скала);STENOY;бизнес;ЦАО;Красносельский;адрес;Школа № 315;5;Школа № 315;5;1;2;3;7;0;0;1;Школа № 315 — 5 мин · без пометки · 11;Инженерная школа № 1581 — 28 мин · на заметку · 39;"Школа № 179 — 4,4 км · 95; Школа Центра педагогического мастерства (ЦПМ) — 3,2 км · 93; Лицей НИУ ВШЭ — 2,6 км · 91";
RED7;ГК Основа;премиум;ЦАО;Красносельский;адрес;Пушкинская школа № 1500;5;Пушкинская школа № 1500;5;2;3;7;9;2;2;3;Лицей НИУ ВШЭ — 15 мин · отметка · 91;Лицей НИУ ВШЭ — 15 мин · отметка · 91;"Пятьдесят седьмая школа — 3,5 км · 96; Школа № 179 — 2,2 км · 95; Школа Центра педагогического мастерства (ЦПМ) — 2,0 км · 93";
Chkalov;Ikon Development;элитный;ЦАО;Басманный;адрес;Школа «Покровский квартал»;6;Школа «Покровский квартал»;6;3;5;6;11;2;2;3;Школа Центра педагогического мастерства (ЦПМ) — 8 мин · отметка · 93;Школа Центра педагогического мастерства (ЦПМ) — 8 мин · отметка · 93;"Пятьдесят седьмая школа — 3,4 км · 96; Школа № 179 — 2,6 км · 95; Школа Центра педагогического мастерства (ЦПМ) — 0,5 км · 93";
Резиденции архитекторов;AFI Development;бизнес;ЦАО;Басманный;адрес;Школа № 354 им. Д.М. Карбышева;4;Школа № 354 им. Д.М. Карбышева;4;1;1;1;6;0;0;1;Школа № 354 им. Д.М. Карбышева — 4 мин · без пометки · 9;Инженерная школа № 1581 — 23 мин · на заметку · 39;"Школа № 179 — 4,3 км · 95; Школа Центра педагогического мастерства (ЦПМ) — 2,4 км · 93; Лицей НИУ ВШЭ — 2,0 км · 91";
HeadLiner;ГК КОРТРОС;бизнес;ЦАО;Пресненский;адрес;Романовская школа;4;Романовская школа;4;1;1;2;3;0;0;2;Школа № 2048 — 18 мин · на заметку · 25;Образовательный центр «Протон» — 27 мин · на заметку · 26;"Пятьдесят седьмая школа — 4,2 км · 96; Школа № 1535 — 3,2 км · 94; Курчатовская школа — 4,7 км · 65";
СОУЛ (SOUL);FORMA;премиум;САО;Аэропорт;адрес;Инженерно-техническая школа им. П.Р. Поповича;12;Инженерно-техническая школа им. П.Р. Поповича;12;0;2;6;14;1;3;2;Школа № 1575 — 16 мин · отметка · 47;Лицей Финансового университета — 21 мин · отметка · 75;"Лицей Финансового университета — 1,2 км · 75; Курчатовская школа — 2,6 км · 65; Школа № 1252 им. Сервантеса — 1,3 км · 53";
